Date,Water Level(metre),Water Temperature(degree celsius),Air Temperature(degree celsius),Percipitation(millimetre),Relative Humidity(percentage),Atmospheric Pressure(kilopascal)
2022-09-27 00:00,256.176,1.700,12.210,0.000,65.952,99.285
2022-09-28 00:00,256.174,1.700,13.796,0.200,62.892,98.503
2022-09-29 00:00,256.191,1.700,15.463,0.000,69.302,98.401
2022-09-30 00:00,256.184,1.700,10.721,0.000,65.904,99.373
2022-10-01 00:00,256.184,1.700,11.065,0.000,62.327,99.639
2022-10-02 00:00,256.184,1.700,12.475,0.000,74.713,98.808
2022-10-03 00:00,256.198,1.700,12.904,0.000,66.183,98.669
2022-10-04 00:00,256.198,1.700,11.838,0.000,78.525,98.533
2022-10-05 00:00,256.216,1.700,6.102,0.000,67.392,99.280
2022-10-06 00:00,256.198,1.700,1.931,0.100,66.321,100.471
2022-10-07 00:00,256.199,1.700,8.777,0.000,54.596,99.105
2022-10-08 00:00,256.198,1.700,9.565,0.000,68.594,98.625
2022-10-09 00:00,256.189,1.700,9.481,0.000,69.654,98.772
2022-10-10 00:00,256.192,1.700,12.531,0.000,69.035,97.113
2022-10-11 00:00,256.200,1.700,10.469,3.280,74.075,95.969
2022-10-12 00:00,256.254,1.700,4.425,0.070,60.046,96.897
2022-10-13 00:00,256.300,1.700,2.190,1.990,72.669,97.226
2022-10-14 00:00,256.243,1.700,2.694,2.050,83.735,97.214
2022-10-15 00:00,256.259,1.700,3.546,0.110,68.677,98.054
2022-10-16 00:00,256.233,1.700,-0.202,0.000,50.890,99.650
2022-10-17 00:00,256.202,1.700,1.804,0.000,54.717,99.729
2022-10-18 00:00,256.183,1.700,4.783,1.380,55.996,99.008
2022-10-19 00:00,256.206,1.700,7.058,0.120,66.413,98.334
2022-10-20 00:00,256.212,1.700,9.652,0.250,66.654,96.617
2022-10-21 00:00,256.219,1.700,6.571,0.000,62.498,96.379
2022-10-22 00:00,256.212,1.700,3.619,0.000,67.765,97.527
2022-10-23 00:00,256.216,1.700,2.908,0.310,69.256,98.325
2022-10-24 00:00,256.221,1.700,-0.402,3.350,86.513,96.881
2022-10-25 00:00,256.252,1.700,-0.904,0.680,80.315,97.325
2022-10-26 00:00,256.219,1.700,0.425,0.100,73.735,98.054
2022-10-27 00:00,256.202,1.700,4.302,0.130,75.208,97.268
2022-10-28 00:00,256.215,1.700,6.319,0.000,63.967,97.394
2022-10-29 00:00,256.219,1.700,6.142,0.000,62.023,97.894
2022-10-30 00:00,256.218,1.700,4.873,0.000,58.831,97.450
2022-10-31 00:00,256.220,1.700,5.425,0.000,62.906,96.806
2022-11-01 00:00,256.220,1.700,-0.083,0.510,78.115,98.148
2022-11-02 00:00,256.209,1.700,-0.071,0.360,83.952,97.323
2022-11-03 00:00,256.234,1.700,-2.927,0.060,76.917,97.673
2022-11-04 00:00,256.229,1.700,-1.985,0.290,71.306,97.355
2022-11-05 00:00,256.222,1.700,0.821,1.090,80.094,95.965
2022-11-06 00:00,256.249,1.700,-2.848,6.340,87.427,97.215
2022-11-07 00:00,256.266,1.700,-9.379,0.000,80.913,100.230
2022-11-08 00:00,256.258,1.700,-4.400,1.830,85.388,99.254
2022-11-09 00:00,256.212,1.700,-12.473,0.000,79.275,99.240
2022-11-10 00:00,256.235,1.700,-11.544,0.000,79.894,99.751
2022-11-11 00:00,256.231,1.700,-10.681,0.000,78.458,99.752
2022-11-12 00:00,256.230,1.700,-8.704,0.000,79.019,99.626
2022-11-13 00:00,256.229,1.700,-7.923,0.000,78.606,99.421
2022-11-14 00:00,256.223,1.700,-9.433,0.000,79.771,99.556
2022-11-15 00:00,256.199,0.912,-11.637,0.010,79.452,99.756
2022-11-16 00:00,256.170,0.300,-4.990,0.840,83.427,98.798
2022-11-17 00:00,256.145,0.300,-11.771,0.430,75.360,99.428
2022-11-18 00:00,256.132,0.300,-10.285,0.450,75.238,97.963
2022-11-19 00:00,256.127,0.300,-12.467,0.410,77.713,98.304
2022-11-20 00:00,256.119,0.306,-7.077,0.000,76.877,97.539
2022-11-21 00:00,256.114,0.363,-6.840,0.180,78.498,98.378
2022-11-22 00:00,256.092,0.375,-3.106,0.450,82.152,97.464
2022-11-23 00:00,256.068,0.400,-1.681,0.000,79.785,97.447
2022-11-24 00:00,256.060,0.400,-2.077,0.000,78.221,98.261
2022-11-25 00:00,256.061,0.400,-0.263,0.000,78.435,96.963
2022-11-26 00:00,256.064,0.442,-1.435,0.140,75.708,97.361
2022-11-27 00:00,256.069,0.460,-5.796,0.430,83.638,97.272
2022-11-28 00:00,256.083,0.500,-2.638,1.330,86.240,96.331
2022-11-29 00:00,256.082,0.500,-11.142,1.240,80.806,97.628
2022-11-30 00:00,256.083,0.500,-20.237,0.340,74.498,99.041
2022-12-01 00:00,256.075,0.500,-20.335,0.840,74.846,98.318
2022-12-02 00:00,256.069,0.500,-22.723,0.000,74.140,98.264
2022-12-03 00:00,256.061,0.500,-21.525,0.000,75.269,98.140
2022-12-04 00:00,256.046,0.504,-13.710,0.540,78.952,96.898
2022-12-05 00:00,256.034,0.521,-26.392,0.000,72.054,98.285
2022-12-06 00:00,256.015,0.513,-27.225,0.000,71.187,98.740
2022-12-07 00:00,255.992,0.500,-26.596,0.000,71.687,98.825
2022-12-08 00:00,255.964,0.544,-20.860,0.000,72.210,99.058
2022-12-09 00:00,255.933,0.535,-12.694,0.000,78.581,98.236
2022-12-10 00:00,255.907,0.504,-11.283,0.000,80.658,98.381
2022-12-11 00:00,255.880,0.533,-7.606,0.000,81.433,98.821
2022-12-12 00:00,255.863,0.594,-1.846,0.160,83.215,98.561
2022-12-13 00:00,255.850,0.510,-5.273,0.000,86.250,98.773
2022-12-14 00:00,255.837,0.565,-4.390,2.470,86.606,98.492
2022-12-15 00:00,255.829,0.552,-6.179,0.390,85.265,98.297
2022-12-16 00:00,255.820,0.556,-12.400,0.000,80.967,98.425
2022-12-17 00:00,255.801,0.600,-20.663,0.000,75.137,99.293
2022-12-18 00:00,255.793,0.600,-23.688,0.000,73.254,100.090
2022-12-19 00:00,255.766,0.600,-22.640,0.140,70.721,100.229
2022-12-20 00:00,255.731,0.598,-25.106,0.150,73.067,100.186
2022-12-21 00:00,255.695,0.598,-24.163,0.000,73.700,99.894
2022-12-22 00:00,255.659,0.600,-21.308,0.740,73.279,99.873
2022-12-23 00:00,255.624,0.592,-25.910,0.000,71.350,100.422
2022-12-24 00:00,255.596,0.600,-26.010,0.000,72.315,100.173
2022-12-25 00:00,255.571,0.556,-18.602,0.000,73.317,99.147
2022-12-26 00:00,255.546,0.508,-15.833,0.000,76.358,98.436
2022-12-27 00:00,255.527,0.508,-15.140,0.460,76.540,97.044
2022-12-28 00:00,255.504,0.508,-18.694,1.360,75.183,96.978
2022-12-29 00:00,255.481,0.500,-17.706,0.090,74.567,97.503
2022-12-30 00:00,255.457,0.517,-18.365,0.690,74.992,97.620
2022-12-31 00:00,255.436,0.500,-13.942,0.000,80.367,97.263
2023-01-01 00:00,255.412,0.500,-11.821,0.000,81.296,97.906
2023-01-02 00:00,255.388,0.500,-11.075,0.000,81.421,97.919
2023-01-03 00:00,255.364,0.508,-13.481,0.000,80.081,97.908
2023-01-04 00:00,255.341,0.508,-13.390,0.000,80.085,98.202
2023-01-05 00:00,255.319,0.500,-12.371,0.000,81.277,98.475
2023-01-06 00:00,255.298,0.500,-12.981,0.000,80.688,98.908
2023-01-07 00:00,255.274,0.500,-13.846,0.000,79.687,98.096
2023-01-08 00:00,255.253,0.500,-8.371,0.000,83.808,98.191
2023-01-09 00:00,255.233,0.500,-8.577,0.000,83.850,97.848
2023-01-10 00:00,255.209,0.500,-9.313,0.210,83.056,97.772
2023-01-11 00:00,255.190,0.500,-9.988,0.280,82.590,98.593
2023-01-12 00:00,255.174,0.500,-10.044,0.000,82.817,99.432
2023-01-13 00:00,255.153,0.500,-10.573,0.000,82.065,98.222
2023-01-14 00:00,255.130,0.500,-9.385,0.050,83.200,97.666
2023-01-15 00:00,255.105,0.500,-11.000,0.210,81.467,97.196
2023-01-16 00:00,255.082,0.500,-12.956,0.000,79.777,97.991
2023-01-17 00:00,255.059,0.500,-9.981,0.000,81.573,98.480
2023-01-18 00:00,255.038,0.500,-14.735,0.000,79.285,98.656
2023-01-19 00:00,255.015,0.500,-11.529,0.000,81.775,98.389
2023-01-20 00:00,254.994,0.498,-7.481,0.090,83.379,98.111
2023-01-21 00:00,254.966,0.471,-7.485,0.000,83.977,97.932
2023-01-22 00:00,254.941,0.471,-7.306,0.850,83.604,97.250
2023-01-23 00:00,254.916,0.417,-13.425,0.380,75.537,98.243
2023-01-24 00:00,254.898,0.404,-15.913,0.000,73.073,98.693
2023-01-25 00:00,254.875,0.400,-12.542,0.230,77.188,98.824
2023-01-26 00:00,254.859,0.392,-13.729,0.830,79.592,97.443
2023-01-27 00:00,254.850,0.392,-21.710,0.000,72.871,98.304
2023-01-28 00:00,254.841,0.396,-24.348,0.000,71.523,99.095
2023-01-29 00:00,254.816,0.381,-26.300,0.000,69.181,99.189
2023-01-30 00:00,254.787,0.310,-23.615,0.000,68.815,98.410
2023-01-31 00:00,254.753,0.317,-25.675,0.000,71.310,98.383
2023-02-01 00:00,254.718,0.300,-25.921,0.000,70.473,98.410
2023-02-02 00:00,254.686,0.296,-28.196,0.000,64.106,99.860
2023-02-03 00:00,254.660,0.242,-19.394,0.430,72.388,98.280
2023-02-04 00:00,254.636,0.225,-13.390,0.000,71.929,97.670
2023-02-05 00:00,254.620,0.223,-10.471,0.050,77.408,97.614
2023-02-06 00:00,254.603,0.246,-5.208,0.240,77.404,96.593
2023-02-07 00:00,254.590,0.217,-9.392,0.000,73.594,97.409
2023-02-08 00:00,254.571,0.200,-5.860,0.000,70.129,98.181
2023-02-09 00:00,254.551,0.200,-14.312,0.000,65.998,99.238
2023-02-10 00:00,254.537,0.204,-7.142,0.000,76.460,97.764
2023-02-11 00:00,254.534,0.217,-8.460,0.000,78.306,97.715
2023-02-12 00:00,254.542,0.252,-1.777,0.000,71.598,97.026
2023-02-13 00:00,254.553,0.269,-4.377,0.000,75.923,95.923
2023-02-14 00:00,254.561,0.292,-11.821,0.200,71.973,97.406
2023-02-15 00:00,254.575,0.263,-20.023,0.000,66.569,98.759
2023-02-16 00:00,254.578,0.325,-20.381,0.000,69.308,98.812
2023-02-17 00:00,254.580,0.383,-10.256,0.140,70.202,97.461
2023-02-18 00:00,254.591,0.394,-16.421,0.160,73.250,97.809
2023-02-19 00:00,254.600,0.400,-23.981,0.000,69.742,98.125
2023-02-20 00:00,254.606,0.400,-22.340,0.000,63.540,97.869
2023-02-21 00:00,254.609,0.404,-24.802,0.000,62.704,98.203
2023-02-22 00:00,254.608,0.400,-27.021,0.000,59.096,99.765
2023-02-23 00:00,254.602,0.400,-23.633,0.000,58.519,100.233
2023-02-24 00:00,254.588,0.400,-20.819,0.000,59.931,99.650
2023-02-25 00:00,254.573,0.400,-21.352,0.000,68.252,97.741
2023-02-26 00:00,254.583,0.369,-17.898,0.000,70.433,97.291
2023-02-27 00:00,254.593,0.360,-11.017,0.000,71.835,96.331
2023-02-28 00:00,254.600,0.383,-16.033,0.000,66.556,97.616
2023-03-01 00:00,254.605,0.388,-18.867,0.000,70.331,98.661
2023-03-02 00:00,254.596,0.390,-12.204,0.000,71.512,97.010
2023-03-03 00:00,254.594,0.350,-6.752,2.210,82.333,96.469
2023-03-04 00:00,254.599,0.365,-8.425,0.220,73.365,97.771
2023-03-05 00:00,254.607,0.375,-15.812,0.000,58.154,99.340
2023-03-06 00:00,254.617,0.390,-19.935,0.000,61.442,100.495
2023-03-07 00:00,254.617,0.390,-19.550,0.000,60.513,100.958
2023-03-08 00:00,254.612,0.400,-17.373,0.000,61.604,101.021
2023-03-09 00:00,254.618,0.400,-15.513,0.000,62.783,100.719
2023-03-10 00:00,254.627,0.400,-13.673,0.000,69.998,99.700
2023-03-11 00:00,254.636,0.400,-8.506,0.000,59.090,99.292
2023-03-12 00:00,254.644,0.400,-11.652,0.000,59.338,99.642
2023-03-13 00:00,254.650,0.400,-11.583,0.000,65.333,98.930
2023-03-14 00:00,254.649,0.400,-5.823,0.000,72.104,97.161
2023-03-15 00:00,254.649,0.400,-9.554,0.130,63.775,97.877
2023-03-16 00:00,254.653,0.400,-15.798,0.270,68.135,99.025
2023-03-17 00:00,254.657,0.404,-15.646,0.030,64.733,99.652
2023-03-18 00:00,254.663,0.450,-10.202,0.000,59.756,98.871
2023-03-19 00:00,254.668,0.473,-8.633,0.000,62.800,98.539
2023-03-20 00:00,254.674,0.496,-15.712,0.000,66.804,99.164
2023-03-21 00:00,254.671,0.500,-13.402,0.000,64.010,98.760
2023-03-22 00:00,254.672,0.496,-8.767,0.000,58.677,98.274
2023-03-23 00:00,254.677,0.500,-8.281,0.000,71.585,97.683
2023-03-24 00:00,254.678,0.496,-6.396,0.000,62.856,97.912
2023-03-25 00:00,254.685,0.500,-10.208,0.000,57.665,98.395
2023-03-26 00:00,254.688,0.500,-14.631,0.000,58.088,99.039
2023-03-27 00:00,254.696,0.500,-16.427,0.000,55.867,99.689
2023-03-28 00:00,254.700,0.500,-13.800,0.000,52.750,99.047
2023-03-29 00:00,254.706,0.500,-7.792,0.000,56.458,98.198
2023-03-30 00:00,254.709,0.500,-6.246,0.000,51.008,98.279
2023-03-31 00:00,254.720,0.508,-7.631,0.000,56.429,98.213
2023-04-01 00:00,254.727,0.504,-4.660,0.000,60.425,97.617
2023-04-02 00:00,254.733,0.517,-8.621,0.000,53.931,97.646
2023-04-03 00:00,254.735,0.525,-13.950,0.000,57.410,98.814
2023-04-04 00:00,254.723,0.517,-9.546,0.000,47.694,99.189
2023-04-05 00:00,254.721,0.529,-5.556,0.000,39.021,98.601
2023-04-06 00:00,254.728,0.556,-4.638,0.000,35.619,99.144
2023-04-07 00:00,254.727,0.575,-6.246,0.000,58.863,99.323
2023-04-08 00:00,254.733,0.567,-2.302,0.000,69.844,98.360
2023-04-09 00:00,254.739,0.596,3.508,0.000,64.215,97.752
2023-04-10 00:00,254.747,0.610,6.306,0.000,54.113,97.548
2023-04-11 00:00,254.754,0.677,5.102,0.230,56.635,97.414
2023-04-12 00:00,254.762,0.902,4.102,0.000,64.215,97.123
2023-04-13 00:00,254.772,1.204,3.075,0.000,62.829,97.922
2023-04-14 00:00,254.775,1.388,3.671,0.560,68.823,98.213
2023-04-15 00:00,254.782,1.604,0.900,0.000,66.200,99.041
2023-04-16 00:00,254.800,1.817,1.004,0.000,61.265,99.018
2023-04-17 00:00,254.815,2.025,-0.748,0.000,58.110,98.612
2023-04-18 00:00,254.833,2.212,-1.685,0.000,53.148,98.644
2023-04-19 00:00,254.849,2.400,-0.902,0.000,48.994,99.063
2023-04-20 00:00,254.855,2.517,-0.919,0.840,67.375,99.393
2023-04-21 00:00,254.864,2.581,1.371,0.000,45.010,99.327
2023-04-22 00:00,254.886,2.708,1.381,0.000,44.633,98.984
2023-04-23 00:00,254.906,2.879,0.325,0.000,50.550,98.895
2023-04-24 00:00,254.928,3.044,-0.852,0.000,61.315,99.186
2023-04-25 00:00,254.953,3.192,0.102,0.000,66.462,99.122
2023-04-26 00:00,254.984,3.352,1.538,1.450,81.750,97.779
2023-04-27 00:00,255.005,3.452,3.446,0.560,76.446,98.112
2023-04-28 00:00,255.032,3.608,3.402,0.060,68.992,98.424
2023-04-29 00:00,255.065,3.800,3.779,0.600,78.317,98.593
2023-04-30 00:00,255.106,4.077,5.040,0.000,63.231,98.990
2023-05-01 00:00,255.148,4.702,4.552,0.000,51.406,98.847
2023-05-02 00:00,255.189,5.121,6.556,0.000,54.669,98.084
2023-05-03 00:00,255.214,5.425,10.990,0.000,58.485,98.024
2023-05-04 00:00,255.242,5.602,7.606,0.000,61.906,98.597
2023-05-05 00:00,255.269,5.746,7.663,0.000,57.785,99.077
2023-05-06 00:00,255.298,6.396,8.579,0.000,54.775,99.061
2023-05-07 00:00,255.322,6.550,10.600,0.000,49.581,98.842
2023-05-08 00:00,255.343,6.563,11.715,0.000,51.158,98.572
2023-05-09 00:00,255.357,6.556,6.537,0.000,80.383,98.360
2023-05-10 00:00,255.377,7.038,9.567,0.000,71.885,98.203
2023-05-11 00:00,255.398,7.002,13.517,0.000,59.892,98.548
2023-05-12 00:00,255.412,6.854,12.610,0.000,53.685,99.370
2023-05-13 00:00,255.428,6.931,11.606,0.000,44.565,100.125
2023-05-14 00:00,255.446,7.523,12.467,0.000,55.842,99.815
2023-05-15 00:00,255.478,6.425,19.848,0.000,40.325,98.823
2023-05-16 00:00,255.451,7.306,9.331,0.000,68.423,98.310
2023-05-17 00:00,255.528,7.538,9.171,1.710,67.042,97.746
2023-05-18 00:00,255.548,6.733,7.473,0.840,63.163,98.503
2023-05-19 00:00,255.550,7.371,14.323,0.000,45.483,98.660
2023-05-20 00:00,255.554,8.260,12.529,0.000,56.390,98.575
2023-05-21 00:00,255.533,8.508,7.227,0.000,57.510,99.122
2023-05-22 00:00,255.552,8.915,11.988,0.000,64.631,98.119
2023-05-23 00:00,255.548,9.275,9.306,0.000,53.954,99.235
2023-05-24 00:00,255.531,8.981,10.773,0.000,62.085,98.940
2023-05-25 00:00,255.572,9.904,13.671,2.410,73.381,98.049
2023-05-26 00:00,255.598,10.494,12.373,3.960,87.312,98.228
2023-05-27 00:00,255.620,10.845,10.577,0.060,82.323,98.515
2023-05-28 00:00,255.628,11.897,15.831,0.000,78.119,97.737
2023-05-29 00:00,255.644,12.265,18.035,1.570,78.619,97.272
2023-05-30 00:00,255.658,13.172,20.431,0.000,67.967,97.456
2023-05-31 00:00,255.652,15.047,15.440,0.000,82.202,98.119
2023-06-01 00:00,255.639,15.584,14.160,0.000,81.950,98.491
2023-06-02 00:00,255.648,15.447,17.533,0.000,79.798,98.497
2023-06-03 00:00,255.663,16.450,21.642,0.050,70.902,98.641
2023-06-04 00:00,255.655,17.426,20.819,0.000,75.450,98.745
2023-06-05 00:00,255.657,18.321,21.419,0.000,74.352,98.488
2023-06-06 00:00,255.662,19.334,22.498,0.390,75.679,97.902
2023-06-07 00:00,255.669,20.310,23.633,0.000,72.202,97.912
2023-06-08 00:00,255.678,20.734,24.992,0.000,56.058,97.996
2023-06-09 00:00,255.678,20.068,18.960,0.000,47.535,98.574
2023-06-10 00:00,255.657,19.316,16.581,0.000,47.540,98.946
2023-06-11 00:00,255.672,19.966,20.748,0.000,54.090,98.381
2023-06-12 00:00,255.685,20.258,23.133,0.000,52.065,97.776
2023-06-13 00:00,255.685,20.261,13.123,0.000,71.600,98.139
2023-06-14 00:00,255.648,18.686,11.373,1.600,69.602,98.001
2023-06-15 00:00,255.629,17.325,16.369,0.270,69.735,97.727
2023-06-16 00:00,255.667,17.521,18.610,0.000,60.996,97.881
2023-06-17 00:00,255.652,18.315,19.323,0.000,64.083,97.486
2023-06-18 00:00,255.665,19.255,20.606,0.000,65.119,97.177
2023-06-19 00:00,255.642,20.013,19.885,0.500,69.010,97.285
2023-06-20 00:00,255.661,19.402,21.798,0.000,64.813,97.714
2023-06-21 00:00,255.678,19.358,21.173,0.000,44.975,98.185
2023-06-22 00:00,255.678,19.919,18.467,0.000,48.777,98.394
2023-06-23 00:00,255.658,20.373,20.619,0.000,50.596,98.362
2023-06-24 00:00,255.653,21.317,21.554,0.000,58.304,98.261
2023-06-25 00:00,255.668,21.243,20.373,0.000,58.300,98.049
2023-06-26 00:00,255.657,20.917,16.244,0.000,65.894,98.360
2023-06-27 00:00,255.649,20.780,19.625,0.350,72.515,97.557
2023-06-28 00:00,255.669,21.138,19.800,0.000,72.760,97.514
2023-06-29 00:00,255.673,21.420,21.998,0.000,61.660,97.929
2023-06-30 00:00,255.661,21.272,23.737,0.000,59.263,98.074
2023-07-01 00:00,255.658,22.794,23.921,0.000,61.448,97.795
2023-07-02 00:00,255.660,23.269,21.960,3.980,63.894,97.204
2023-07-03 00:00,255.683,21.616,16.602,0.000,65.640,97.139
2023-07-04 00:00,255.720,20.053,12.079,4.770,67.246,98.149
2023-07-05 00:00,255.701,19.507,17.135,0.000,51.712,98.434
2023-07-06 00:00,255.703,19.524,17.831,0.000,54.758,97.880
2023-07-07 00:00,255.710,19.427,17.277,0.000,47.694,98.377
2023-07-08 00:00,255.726,18.970,17.548,1.110,60.100,97.699
2023-07-09 00:00,255.745,18.920,16.008,6.170,61.302,97.323
2023-07-10 00:00,255.763,18.477,14.369,0.000,58.181,98.036
2023-07-11 00:00,255.755,18.472,17.638,0.000,58.229,98.345
2023-07-12 00:00,255.763,18.687,19.290,4.270,59.171,97.568
2023-07-13 00:00,255.779,18.936,17.452,0.340,65.283,96.961
2023-07-14 00:00,255.801,18.591,15.212,0.250,62.729,97.344
2023-07-15 00:00,255.823,18.030,13.115,8.310,77.923,97.610
2023-07-16 00:00,255.825,17.799,15.588,0.000,71.465,98.368
2023-07-17 00:00,255.829,18.283,18.733,0.000,64.540,98.362
2023-07-18 00:00,255.817,18.601,17.246,0.230,71.308,98.114
2023-07-19 00:00,255.819,18.633,19.160,0.030,65.212,98.333
2023-07-20 00:00,255.834,18.426,21.231,0.000,61.275,98.596
2023-07-21 00:00,255.841,18.459,20.583,0.000,66.358,98.164
2023-07-22 00:00,255.849,19.418,20.594,0.000,63.385,97.963
2023-07-23 00:00,255.844,19.970,19.177,0.000,59.802,98.257
2023-07-24 00:00,255.847,19.877,20.650,0.000,59.985,98.346
2023-07-25 00:00,255.842,21.331,21.246,1.390,63.679,97.776
2023-07-26 00:00,255.815,19.794,17.073,9.730,74.267,97.540
2023-07-27 00:00,255.845,19.464,14.327,0.610,74.821,98.266
2023-07-28 00:00,255.849,19.128,15.808,0.000,59.277,99.077
2023-07-29 00:00,255.855,18.977,18.640,0.000,61.263,98.921
2023-07-30 00:00,255.861,19.288,19.996,0.000,63.831,98.769
2023-07-31 00:00,255.850,19.687,20.942,1.780,70.948,98.414
2023-08-01 00:00,255.859,20.406,22.077,3.510,67.135,98.061
2023-08-02 00:00,255.878,20.286,22.135,0.000,58.375,98.264
2023-08-03 00:00,255.860,20.635,21.271,0.540,65.937,98.564
2023-08-04 00:00,255.848,21.796,22.219,2.240,69.344,98.241
2023-08-05 00:00,255.867,21.282,21.396,0.000,58.485,98.467
2023-08-06 00:00,255.866,21.193,20.554,0.000,60.563,98.480
2023-08-07 00:00,255.863,21.080,17.975,6.580,72.327,98.161
2023-08-08 00:00,255.867,20.863,15.846,1.730,70.090,97.988
2023-08-09 00:00,255.856,20.471,15.935,0.000,58.242,98.130
2023-08-10 00:00,255.839,19.628,16.552,0.650,64.904,97.655
2023-08-11 00:00,255.838,18.937,15.873,5.190,79.417,97.455
2023-08-12 00:00,255.858,19.183,17.746,0.050,72.627,98.101
2023-08-13 00:00,255.862,19.525,19.794,0.000,66.073,98.607
2023-08-14 00:00,255.863,20.239,22.040,1.360,66.760,98.062
2023-08-15 00:00,255.870,20.360,19.621,0.150,62.760,97.966
2023-08-16 00:00,255.886,20.017,16.848,6.330,75.681,96.999
2023-08-17 00:00,255.875,19.615,18.450,0.000,65.175,97.604
2023-08-18 00:00,255.850,19.827,20.802,0.000,68.356,96.536
2023-08-19 00:00,255.870,19.518,15.727,3.170,74.804,97.795
2023-08-20 00:00,255.869,19.160,17.017,0.000,61.794,99.048
2023-08-21 00:00,255.853,19.214,18.235,0.000,69.256,99.116
2023-08-22 00:00,255.847,19.485,17.023,2.760,77.588,98.791
2023-08-23 00:00,255.841,19.013,17.029,4.120,81.204,98.130
2023-08-24 00:00,255.846,18.812,16.183,3.400,85.029,98.088
2023-08-25 00:00,255.846,18.411,14.458,0.000,76.244,99.126
2023-08-26 00:00,255.848,18.267,17.525,0.000,76.225,98.788
2023-08-27 00:00,255.853,18.567,19.058,0.000,70.767,98.136
2023-08-28 00:00,255.855,18.491,19.442,0.000,70.002,98.273
2023-08-29 00:00,255.843,18.711,16.031,0.000,70.419,98.726
2023-08-30 00:00,255.838,19.154,19.604,0.000,69.402,98.074
2023-08-31 00:00,255.841,19.493,18.558,18.720,82.025,97.120
2023-09-01 00:00,255.868,19.143,20.321,0.450,74.381,97.043
2023-09-02 00:00,255.874,19.172,22.688,0.000,60.690,96.774
2023-09-03 00:00,255.877,19.345,18.544,0.000,66.304,97.411
2023-09-04 00:00,255.858,19.376,18.277,0.000,71.108,97.040
2023-09-05 00:00,255.884,18.803,14.263,0.000,58.806,98.329
2023-09-06 00:00,255.854,18.278,15.281,0.000,60.783,98.524
2023-09-07 00:00,255.852,17.472,15.775,0.250,71.396,98.069
2023-09-08 00:00,255.871,17.299,15.800,0.000,64.833,98.719
2023-09-09 00:00,255.866,17.325,14.775,0.000,66.706,99.307
2023-09-10 00:00,255.861,17.080,14.233,6.590,67.442,99.581
2023-09-11 00:00,255.859,16.628,13.035,0.000,63.163,99.557
2023-09-12 00:00,255.848,16.053,14.244,0.000,62.025,98.800
2023-09-13 00:00,255.849,15.581,16.310,0.050,70.979,97.781
2023-09-14 00:00,255.873,15.756,16.119,0.000,65.910,97.617
2023-09-15 00:00,255.897,15.684,13.052,1.090,77.575,98.218
2023-09-16 00:00,255.867,15.470,12.267,0.000,73.946,98.810
2023-09-17 00:00,255.856,15.290,15.846,0.000,73.275,97.936
2023-09-18 00:00,255.858,15.555,16.696,0.000,74.406,97.017
2023-09-19 00:00,255.877,15.891,16.427,0.000,72.629,97.117
2023-09-20 00:00,255.884,15.814,15.535,0.000,63.321,98.054
2023-09-21 00:00,255.875,15.688,15.735,0.050,70.577,99.051
2023-09-22 00:00,255.875,16.195,16.117,0.000,71.940,99.187
2023-09-23 00:00,255.872,16.911,16.998,0.000,63.852,98.816
2023-09-24 00:00,255.870,16.561,15.779,0.000,81.815,98.475
2023-09-25 00:00,255.876,16.300,16.440,0.000,84.056,98.810
2023-09-26 00:00,255.868,16.628,17.146,0.040,78.560,98.872
2023-09-27 00:00,255.863,16.744,17.548,0.000,74.744,98.069
2023-09-28 00:00,255.873,16.700,17.050,0.000,80.350,97.748